03461,上閉伊郡大槌町,16376
03480,下閉伊郡,41650
03482,下閉伊郡山田町,19684
03483,下閉伊郡岩泉町,11489
03484,下閉伊郡田野畑村,4072
03485,下閉伊郡普代村,3150
03487,下閉伊郡川井村,3255
03500,九戸郡,42383
03501,九戸郡軽米町,10868
03503,九戸郡野田村,4936
03506,九戸郡九戸村,6789
03507,九戸郡洋野町,19790
03520,二戸郡,14931
03524,二戸郡一戸町,14931
04000,宮城県,2330898
04100,仙台市,1006522
04101,仙台市青葉区,270171
04102,仙台市宮城野区,182998
04103,仙台市若林区,126771
04104,仙台市太白区,217187
04105,仙台市泉区,209395
04202,石巻市,165099
04203,塩竈市,58097
04205,気仙沼市,64394
04206,白石市,38439
04207,名取市,70868
04208,角田市,32378
04209,多賀城市,62861
04211,岩沼市,44271
04212,登米市,87087
04213,栗原市,78337
04214,東松島市,43506
04215,大崎市,136178
04300,刈田郡,15157
04301,刈田郡蔵王町,13350
04302,刈田郡七ヶ宿町,1807
04320,柴田郡,84715
04321,柴田郡大河原町,23362
04322,柴田郡村田町,12371
04323,柴田郡柴田町,38698
04324,柴田郡川崎町,10284
04340,伊具郡,16257
04341,伊具郡丸森町,16257
04360,亘理郡,52798
04361,亘理郡亘理町,35703
04362,亘理郡山元町,17095
04400,宮城郡,70513
04401,宮城郡松島町,15694
04404,宮城郡七ヶ浜町,21094
04406,宮城郡利府町,33725
04420,黒川郡,85515
04421,黒川郡大和町,24684
04422,黒川郡大郷町,9143
04423,黒川郡富谷町,46162
04424,黒川郡大衡村,5526
04440,加美郡,34208
04444,加美郡色麻町,7601
04445,加美郡加美町,26607
04500,遠田郡,43921
04501,遠田郡涌谷町,18036
04505,遠田郡美里町,25885
04580,牡鹿郡,10411
04581,牡鹿郡女川町,10411
04600,本吉郡,29366
04603,本吉郡本吉町,11331
04606,本吉郡南三陸町,18035
05000,秋田県,1118735
05201,秋田市,324512
05202,能代市,61416
05203,横手市,102322
05204,大館市,81231
05206,男鹿市,33738
05207,湯沢市,53695
05209,鹿角市,35955
05210,由利本荘市,87394
05211,潟上市,35379
05212,大仙市,92224
05213,北秋田市,38158
05214,にかほ市,28695
05215,仙北市,31044
05300,鹿角郡,6251
05303,鹿角郡小坂町,6251
05320,北秋田郡,2945
05327,北秋田郡上小阿仁村,2945
05340,山本郡,32933
05346,山本郡藤里町,4072
05348,山本郡三種町,20115
05349,山本郡八峰町,8746
05360,南秋田郡,27270
05361,南秋田郡五城目町,11337
05363,南秋田郡八郎潟町,6919
05366,南秋田郡井川町,5706
05368,南秋田郡大潟村,3308
05420,仙北郡,22720
05434,仙北郡美郷町,22720
05460,雄勝郡,20853
05463,雄勝郡羽後町,17898
05464,雄勝郡東成瀬村,2955
06000,山形県,1185100
06201,山形市,250138
06202,米沢市,87931
06203,鶴岡市,139619
06204,酒田市,113952
06205,新庄市,39473
06206,寒河江市,43156
06207,上山市,34709
06208,村山市,27864
06209,長井市,29884
06210,天童市,62654
06211,東根市,46410
06212,尾花沢市,19910
06213,南陽市,34399
06300,東村山郡,27949
06301,東村山郡山辺町,15482
06302,東村山郡中山町,12467
06320,西村山郡,45109
06321,西村山郡河北町,20473
06322,西村山郡西川町,6733
06323,西村山郡朝日町,8321
06324,西村山郡大江町,9582
06340,北村山郡,8596
06341,北村山郡大石田町,8596
06360,最上郡,47901
06361,最上郡金山町,6616
06362,最上郡最上町,10404
06363,最上郡舟形町,6427
06364,最上郡真室川町,9552
06365,最上郡大蔵村,3967
06366,最上郡鮭川村,5250
06367,最上郡戸沢村,5685
06380,東置賜郡,43747
06381,東置賜郡高畠町,25767
06382,東置賜郡川西町,17980
06400,西置賜郡,33655
06401,西置賜郡小国町,9252
06402,西置賜郡白鷹町,16010
06403,西置賜郡飯豊町,8393
06420,東田川郡,31596
06426,東田川郡三川町,7714
06428,東田川郡庄内町,23882
06460,飽海郡,16448
06461,飽海郡遊佐町,16448
07000,福島県,2063769
07201,福島市,292684
07202,会津若松市,127594
07203,郡山市,334493
07204,いわき市,351756
07205,白河市,65249
07207,須賀川市,80375
